id,value,feed_id,created_at,lat,lon,ele
0FDQKHQWDKJFPSVAT7MCQC7B7E,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-05 01:45:22 UTC,,,
0FDQKHTXYZ2YXV4A5Q71WPKY1V,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9320068,""temperatura"":15.89999962}",2626589,2023-10-05 01:45:32 UTC,,,
0FDQKHY302GBS8QB44RQ5J4RQZ,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-05 01:45:42 UTC,,,
0FDQKJ11SP1DFSPZPFPXGHWRXX,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:45:52 UTC,,,
0FDQKJ43R2K59394GM5K00SCEP,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:46:02 UTC,,,
0FDQKJ78XZC3KHHD4J78NDN5X3,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:46:12 UTC,,,
0FDQKJA7JHM4GACPRXW2JGNHP3,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:46:22 UTC,,,
0FDQKJD9HTGW088VFHZV3NVKGF,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:46:32 UTC,,,
0FDQKKPCCF30T11ADSPJTAW1MT,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-05 01:48:46 UTC,,,
0FDQKKSEB928QKJD5R96TSGRAN,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:48:56 UTC,,,
0FDQKMRW8YARFFTMN4J03C88BX,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-05 01:50:39 UTC,,,
0FDQKMVY5DE20D2GZ8TPMCH4VM,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:50:49 UTC,,,
0FDQKMZ35VDRA0ZMQQRMXTAMYY,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9660034,""temperatura"":15.89999962}",2626589,2023-10-05 01:51:00 UTC,,,
0FDQKN220G0EFQCKBNFVWFQ6CM,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:51:09 UTC,,,
0FDQKNNT2CQ9W8ZT25V7HXHBMQ,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 01:52:14 UTC,,,
0FDQKNRVY3XF364B20QPJRD2DH,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9660034,""temperatura"":15.89999962}",2626589,2023-10-05 01:52:24 UTC,,,
0FDQX6TA8KGNHMVEC0Y7HKK1EN,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-05 10:45:30 UTC,,,
0FDQX6XC7EH095XSMVH87BGYMZ,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 10:45:41 UTC,,,
0FDQX70GSRBN2VHPWTGZPF65S7,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-05 10:45:51 UTC,,,
0FDQX73G18KQADQF2YF43W5NM6,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9660034,""temperatura"":15.89999962}",2626589,2023-10-05 10:46:01 UTC,,,
0FDQX76HYBWE4BMNQJWJMV7NY7,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 10:46:11 UTC,,,
0FDQX79QS65XS9HM4HM49HV5MY,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-05 10:46:21 UTC,,,
0FDSX2HWCR25BXFCK61E0ZPSFX,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-07 22:17:12 UTC,,,
0FDSX2MY9RNXSNDNHJZZX9WQRY,"{""aberturaMaximaJanelaCM"":60,""aberturaJanelaCm"":169.9490051,""temperatura"":15.89999962}",2626589,2023-10-07 22:17:22 UTC,,,
0FDT12X7FAT734DZ1JMR4GBMV3,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-08 02:01:31 UTC,,,
0FDT19WB10NGWC1NVSHCKJF69G,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-08 02:13:42 UTC,,,
0FDT1A8GVBQ5XQ4JCX52SJR3VJ,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-08 02:14:22 UTC,,,
0FDT1AJ90Y2VNDQW8SJ5JCX3G7,"{""aberturaMaximaJanelaCM"":202.9459991,""aberturaJanelaCm"":104.9919968,""temperatura"":15.89999962}",2626589,2023-10-08 02:14:54 UTC,,,
0FDT1HCKMR6NPSHSSPKB82SFE6,"{""aberturaMaximaJanelaCM"":104.9749985,""aberturaJanelaCm"":104.9919968,""temperatura"":15.89999962}",2626589,2023-10-08 02:26:49 UTC,,,
0FDTG7TVGKRGDB7VS3GF39EJX0,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":169.9660034,""temperatura"":15.89999962}",2626589,2023-10-08 16:08:59 UTC,,,
0FDTG8G0D7MFVE249YVJT26XSB,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-08 16:10:08 UTC,,,
0FDTG8K1VNM4M0CA87TXF3KNC3,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-08 16:10:18 UTC,,,
0FDTMSXTPR3HAC5S27ET3E5J0B,"{""aberturaMaximaJanelaCM"":101.9489975,""aberturaJanelaCm"":102.0169983,""temperatura"":15.89999962}",2626589,2023-10-08 20:24:18 UTC,,,
0FDTN6J31MS0GXMJHBVS54B9MT,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-08 20:46:23 UTC,,,
0FDTNM1W7GG7G6QYDFY4M6S0M3,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-08 21:09:57 UTC,,,
0FDTNPG9JD92EEABBAHQJ3QGX8,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-08 21:14:14 UTC,,,
0FDTSRY1322RHC083EX94GDQ31,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":169.9320068,""temperatura"":15.89999962}",2626589,2023-10-09 01:02:11 UTC,,,
0FDTSY5T76M6CP67WRVZYSJSJS,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-09 01:11:21 UTC,,,
0FDTSY8VBXRGK73BA9FHFY3HSZ,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":169.9490051,""temperatura"":15.89999962}",2626589,2023-10-09 01:11:31 UTC,,,
0FDTT044STK8EBC2X38E5B2RJE,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":169.9660034,""temperatura"":15.89999962}",2626589,2023-10-09 01:14:45 UTC,,,
0FDTT2KH2SJV2B5NRFZG3ZW581,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":170.0169983,""temperatura"":15.89999962}",2626589,2023-10-09 01:19:05 UTC,,,
0FDTT3BWA8JM7C330X68JQH54Z,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":170,""temperatura"":15.89999962}",2626589,2023-10-09 01:20:25 UTC,,,
0FDTT726JRGK3KBFGNYX7YT422,"{""aberturaMaximaJanelaCM"":169.9660034,""aberturaJanelaCm"":169.9830017,""temperatura"":15.89999962}",2626589,2023-10-09 01:26:53 UTC,,,
0FDTTP4QSDMEAYPZP1TJKQKBDS,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":169.9490051,""temperatura"":15.89999962}",2626589,2023-10-09 01:53:14 UTC,,,
0FDTTZDM98SC42JERB3VNV1JV1,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":169.9490051,""temperatura"":15.89999962}",2626589,2023-10-09 02:09:27 UTC,,,
0FDVF77PPR7X5K7DSG582YZJ5C,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":169.9490051,""temperatura"":15.89999962}",2626589,2023-10-09 21:01:35 UTC,,,
0FDZKCYGTMCHWPKVJEX0QBQPB2,"{""aberturaMaximaJanelaCM"":169.9830017,""aberturaJanelaCm"":169.9320068,""temperatura"":15.89999962}",2626589,2023-10-15 00:13:32 UTC,,,
